"","plasma.plat.vec.final"
"BDNF.2421.7.3",0.131297152369973
"TIMP3.2480.58.3",0.218944395784431
"RANTES.2523.31.3",0.172583489828669
"MMP9.2579.17.5",0.159691366068032
"PF4.2697.7.1",0.245638146283752
"Angiopoietin1.2811.27.1",0.170156785292573
"Midkine.2911.27.1",0.119506373655032
"NAP2.2914.65.1",0.210255670403656
"PAI1.2925.9.1",0.167058558997679
"ON.3043.49.1",0.230746089162203
"amyloid.precursor.protein.3171.57.1",0.242866091403666
"CathepsinA.3179.51.1",0.133873576316104
"Protease.nexin.I.3217.74.1",0.26677523809167
"Dkk4.3365.7.2",0.153641507861288
"Thrombospondin1.3474.19.1",0.175229346404758
"BPI.4126.22.1",0.188123543966545
"PDGF.BB.4149.8.1",0.266412344612819
